Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"MN Ezediokpu, K Krause, M Kunert, D Hoffmeister…","Ectomycorrhizal Influence on the Dynamics of Sesquiterpene Release by Tricholoma vaccinum. J. Fungi 2022, 8, 555",2022,"","pure.mpg.de","https://pure.mpg.de/pubman/item/item_3385507_2/component/file_3385508/BOL734.pdf?mode=download","",12,"2022-06-30 09:39:10","PDF","","","",,,,,0,0.00,0,5,1,"Tricholoma vaccinum is an ectomycorrhizal basidiomycete with high host specificity. The slow-growing fungus is able to produce twenty sesquiterpenes, including α-barbatene, sativene…","https://pure.mpg.de/pubman/item/item_3385507_2/component/file_3385508/BOL734.pdf?mode=download","https://scholar.google.com/scholar?q=related:svvKgkbz6ssJ:scholar.google.com/&scioq=390713860&hl=en&as_sdt=2007"
0,"B Cordova, A Perri, M Wibowo, T Prasad Honap, J Ko…","CoproID predicts the source of coprolites and paleofeces using microbiome composition and host DNA content",2020,"","addi.ehu.es","https://addi.ehu.es/handle/10810/43534","",14,"2022-06-30 09:39:10","","","","",,,,,0,0.00,0,6,2,"Shotgun metagenomics applied to archaeological feces (paleofeces) can bring new insights into the composition and functions of human and animal gut microbiota from the past. …","https://addi.ehu.es/bitstream/handle/10810/43534/peerj-9001.pdf?sequence=1&isAllowed=y","https://scholar.google.com/scholar?q=related:w8wN7aq0DyoJ:scholar.google.com/&scioq=390713860&hl=en&as_sdt=2007"
0,"M Figge, R Gerst, Z Cseresnyes","JIPipe: Visual batch processing for ImageJ",2022,"","researchsquare.com","https://www.researchsquare.com/article/rs-1641739/latest.pdf","",34,"2022-06-30 09:39:10","PDF","","","",,,,,0,0.00,0,3,1,"The continuous development of new microscopy techniques requires the parallel evolution of image 11 analysis workflows. ImageJ provides a high level of accessibility to bioimage …","https://www.researchsquare.com/article/rs-1641739/latest.pdf","https://scholar.google.com/scholar?q=related:eJogfz9M1WMJ:scholar.google.com/&scioq=390713860&hl=en&as_sdt=2007"
0,"M Windolph, S Nietzsche, R Heller, F Siwczak…","Co-infection withStaphylococcus aureusafter primary influenza virus infection leads to damage of the endothelium in a human alveolus-on-a-chip model",2020,"","researchgate.net","https://www.researchgate.net/profile/Zoltan-Cseresnyes/publication/338891003_Co-infection_with_Staphylococcus_aureus_after_primary_influenza_virus_infection_leads_to_damage_of_the_endothelium_in_a_human_alveolus-on-a-chip_model/links/5ea0668092851c87d1aa30a7/Co-infection-with-Staphylococcus-aureus-after-primary-influenza-virus-infection-leads-to-damage-of-the-endothelium-in-a-human-alveolus-on-a-chip-model.pdf","",65,"2022-06-30 09:39:10","PDF","","","",,,,,0,0.00,0,5,2,"Pneumonia is one of the most common infectious diseases worldwide. The influenza virus can cause severe epidemics, which results in significant morbidity and mortality. Beyond the …","https://www.researchgate.net/profile/Zoltan-Cseresnyes/publication/338891003_Co-infection_with_Staphylococcus_aureus_after_primary_influenza_virus_infection_leads_to_damage_of_the_endothelium_in_a_human_alveolus-on-a-chip_model/links/5ea0668092851c87d1aa30a7/Co-infection-with-Staphylococcus-aureus-after-primary-influenza-virus-infection-leads-to-damage-of-the-endothelium-in-a-human-alveolus-on-a-chip-model.pdf","https://scholar.google.com/scholar?q=related:fnk9qmk9wP4J:scholar.google.com/&scioq=390713860&hl=en&as_sdt=2007"
0,"M Haber Uriarte, Z Fagernäs, DC Salazar-García…","Understanding the microbial biogeography of ancient human dentitions to guide study design and interpretation",2022,"","digitum.um.es","https://digitum.um.es/digitum/handle/10201/119263","",116,"2022-06-30 09:39:10","","","","",,,,,0,0.00,0,4,1,"The oral cavity is a heterogeneous environment, varying in factors such as pH, oxygen levels, and salivary flow. These factors affect the microbial community composition and …","https://digitum.um.es/digitum/bitstream/10201/119263/1/xtac006.pdf","https://scholar.google.com/scholar?q=related:vMtL3CDiD-wJ:scholar.google.com/&scioq=390713860&hl=en&as_sdt=2007"
0,"M Hoyos","Principles of RNA-based gene expression control in Vibrio cholerae",2020,"","edoc.ub.uni-muenchen.de","https://edoc.ub.uni-muenchen.de/27366/","",168,"2022-06-30 09:39:10","","","","",,,,,0,0.00,0,1,2,"Post-transcriptional control of gene expression by small regulatory RNAs (sRNAs) is a widespread regulatory principle among bacteria. The sRNAs typically act in concert with RNA …","https://edoc.ub.uni-muenchen.de/27366/7/Hoyos_Mona.pdf","https://scholar.google.com/scholar?q=related:oDsUyjaOjXcJ:scholar.google.com/&scioq=390713860&hl=en&as_sdt=2007"
0,"A Last","Interactions of Candida albicans with non-pathogenic gut bacteria",2021,"","db-thueringen.de","https://www.db-thueringen.de/servlets/MCRFileNodeServlet/dbt_derivate_00053781/DissLast.pdf","",186,"2022-06-30 09:39:10","PDF","","","",,,,,0,0.00,0,1,1,"The yeast Candida albicans is a commensal colonizer of mucosal surfaces in humans. Under certain circumstances, the fungus can cause superficial infections like oropharyngeal or …","https://www.db-thueringen.de/servlets/MCRFileNodeServlet/dbt_derivate_00053781/DissLast.pdf","https://scholar.google.com/scholar?q=related:Hw_n4dm3BfQJ:scholar.google.com/&scioq=390713860&hl=en&as_sdt=2007"
0,"ML Mondelli, S Samuel, B König-Ries…","Capturing and Semantically Describing Provenance to Tell the Story of R Scripts",2021,"2021 IEEE 17th …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9582412/","",70,"2022-06-30 09:39:10","","","","",,,,,0,0.00,0,4,1,"Reproducibility is a topic that has received significant attention in recent years. Despite being considered a fundamental factor in the scientific process, recent surveys have shown the …","https://www.lncc.br/~lgadelha/publications/eScience2021.pdf","https://scholar.google.com/scholar?q=related:tLYsWhLEGQcJ:scholar.google.com/&scioq=390713860&hl=en&as_sdt=2007"
3,"J Fornefett, A Busch, S Döpping, H Hotzel…","Bacterial gastroenteritis caused by the putative zoonotic pathogen Campylobacter lanienae: First reported case in Germany",2021,"Access …","ncbi.nlm.nih.gov","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8209712/","https://scholar.google.com/scholar?cites=6291318593421816291&as_sdt=2005&sciodt=2007&hl=en",42,"2022-06-30 09:39:10","HTML","","","",,,,,3,3.00,1,5,1,"Foodborne campylobacteriosis is the most common cause of human bacterial enteritis in Germany. Campylobacter jejuni and Campylobacter coli are the main causative agents for …","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8209712/","https://scholar.google.com/scholar?q=related:47G3ie1AT1cJ:scholar.google.com/&scioq=390713860&hl=en&as_sdt=2007"
23,"L Wondraczek, G Pohnert, FH Schacher…","Artificial microbial arenas: Materials for observing and manipulating microbial consortia",2019,"Advanced …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.201900284","https://scholar.google.com/scholar?cites=3167589645076567279&as_sdt=2005&sciodt=2007&hl=en",26,"2022-06-30 09:39:10","","10.1002/adma.201900284","","",,,,,23,7.67,6,4,3,"From the smallest ecological niche to global scale, communities of microbial life present a major factor in system regulation and stability. As long as laboratory studies remain restricted …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/adma.201900284","https://scholar.google.com/scholar?q=related:75T-5P-J9SsJ:scholar.google.com/&scioq=390713860&hl=en&as_sdt=2007"
